01061900;-398845
01064900;-5544
02012090;-515450
02013000;-650103
02023090;-96650
02032913;1581926
02032915;526858
02032955;57246
02032990;-9
02050020;13
02064900;10924
02089030;12
02101219;-39
02101981;97
02102090;418
02109910;289
02109931;168306
02109939;47
02109959;-34877
03019190;-19207
03021900;-72868
03028990;-3259
03029100;-3162
03031900;-111388
03033110;-36540
03035100;500308
03036390;-10069
03038910;-1113424
03039190;-304675
03044100;111595
03044300;-3514
03047419;-72016
03047500;-39993
03047990;-30442
03048100;-429440
03048390;-138754
03048910;-21888
03048921;-5380
03048929;-7655
03048990;-1090
03049490;-18220
03049921;-164091
03052000;-76605
03054100;-5
03055985;-251
03061110;-6234
03061190;-1186
03061210;-76223
03061290;-210969
03061410;-37309
03061699;-86771
03063210;-173558
03063291;-6502
03063299;-65673
03063400;-1752
03063550;-66484
03063990;-504
03069520;-11399
03069990;-1366
03072110;-39750
03072190;-146
03072210;-20628
03072290;-76696
03072910;-715
03074220;-238
03074338;-10299
03074392;-786
03074399;-19618
03077290;-230
03082200;-1554
03091000;-7408
04011090;50
04021011;-6
04021099;86
04022118;2
04032041;88
04041002;9
04041084;10
04049021;86761
04049023;148752
04049083;24
04049089;61
04051011;1931005
04051090;172
04063039;626844
04069001;54
04069013;11286168
04069015;502639
04069021;-95680
04069039;110
04069078;547045
04069089;717968
04069093;6
04069099;-2036
04090000;1660
04101010;1
04101099;145
05010000;-101
05029000;1
05040000;-838183
05051090;-13
05059000;232
05069000;-496
05079000;1038
05100000;-517
05111000;-1141287
05119190;-112330
05119910;-19407
05119939;-14
05119985;200891
06012090;-32127
06029045;-8892
06029050;-251
06029070;-380
06031970;245
06039000;1121
06042090;-137207
06049011;59066
06049091;256
06049099;-74
07011000;2
07069090;-330
07095100;100
07095900;548
07099310;-401
07099960;-858
07099990;-1179
07102100;-7045
07102200;-1224
07119080;-311
07123200;-48
07123900;61461
07129005;-94
07129090;-239
07131010;-163220
07131090;-51223
07132000;-90622
07133310;-1141
07133390;-25633
07133900;-4
07134000;-63961
07135000;5
07139000;-2378
07141000;-5
07142010;-2576865
07142090;-1514
08011900;2
08013100;-12
08013200;-204
08021190;-4233
08021210;-704
08021290;-2478837
