Kategoria;Päivien lukumäärä:
Kategoria 1;53
Kategoria 2;57
Kategoria 3;40
Kategoria 4;216

Kaikki päivittäiset sademäärät:
Pvm;mm
10.10.2016;0.0
11.10.2016;0.0
12.10.2016;0.0
13.10.2016;0.0
14.10.2016;0.0
15.10.2016;0.7
16.10.2016;0.0
17.10.2016;0.0
18.10.2016;0.0
19.10.2016;0.0
20.10.2016;0.0
21.10.2016;0.0
22.10.2016;0.0
23.10.2016;0.2
24.10.2016;0.5
25.10.2016;1.1
26.10.2016;0.0
27.10.2016;11.7
28.10.2016;10.3
29.10.2016;0.0
30.10.2016;0.2
31.10.2016;0.2
01.11.2016;0.5
02.11.2016;5.6
03.11.2016;0.0
04.11.2016;0.0
05.11.2016;0.0
06.11.2016;1.0
07.11.2016;4.0
08.11.2016;4.1
09.11.2016;9.9
10.11.2016;1.9
11.11.2016;0.0
12.11.2016;0.1
13.11.2016;0.2
14.11.2016;0.6
15.11.2016;1.9
16.11.2016;5.9
17.11.2016;5.6
18.11.2016;0.4
19.11.2016;1.7
20.11.2016;9.7
21.11.2016;6.1
22.11.2016;0.6
23.11.2016;2.0
24.11.2016;3.4
25.11.2016;0.0
26.11.2016;11.1
27.11.2016;0.5
28.11.2016;0.2
29.11.2016;0.9
30.11.2016;2.6
01.12.2016;0.0
02.12.2016;0.0
03.12.2016;0.0
04.12.2016;1.4
05.12.2016;0.0
06.12.2016;0.0
07.12.2016;0.6
08.12.2016;5.2
09.12.2016;0.0
10.12.2016;0.0
11.12.2016;0.0
12.12.2016;0.0
13.12.2016;0.0
14.12.2016;1.8
15.12.2016;0.0
16.12.2016;0.0
17.12.2016;1.3
18.12.2016;0.3
19.12.2016;0.6
20.12.2016;0.2
21.12.2016;0.2
22.12.2016;0.0
23.12.2016;0.1
24.12.2016;7.4
25.12.2016;1.3
26.12.2016;1.5
27.12.2016;2.1
28.12.2016;0.0
29.12.2016;0.0
30.12.2016;0.0
31.12.2016;0.0
