Pvm;Sademäärä;Mustikkamaa;Kauppatori;Hakaniemi
01.07.2016;0.0;2540;940;0
02.07.2016;5.7;4009;1557;0
03.07.2016;6.7;1260;360;0
04.07.2016;12.3;1610;418;125
05.07.2016;1.5;2691;927;0
06.07.2016;0.0;5001;1554;0
07.07.2016;6.2;811;191;68
08.07.2016;0.0;2902;926;0
09.07.2016;0.0;5373;1602;0
10.07.2016;1.3;2533;662;0
11.07.2016;3.6;3298;1172;0
12.07.2016;0.9;3671;1376;0
13.07.2016;0.0;4849;1827;0
14.07.2016;0.0;4939;1629;0
15.07.2016;17.6;503;105;0
16.07.2016;0.0;5353;1735;0
17.07.2016;0.0;3445;858;0
18.07.2016;0.1;4322;1460;0
19.07.2016;0.0;4669;1866;0
20.07.2016;0.0;4543;1961;0
21.07.2016;0.1;4096;1408;0
22.07.2016;0.0;3741;1122;0
23.07.2016;0.2;4138;1430;0
24.07.2016;0.0;3499;1153;0
25.07.2016;0.0;3051;1246;0
26.07.2016;0.0;3382;1609;0
27.07.2016;0.0;3342;1575;0
28.07.2016;0.7;3252;1255;0
29.07.2016;1.4;3138;1108;0
30.07.2016;0.0;4027;1578;0
31.07.2016;1.3;2405;704;0
01.08.2016;0.0;2640;974;0
02.08.2016;0.1;3408;1413;0
03.08.2016;0.1;3192;1323;0
04.08.2016;6.0;1201;401;0
05.08.2016;0.0;2725;922;0
06.08.2016;4.8;3249;892;0
07.08.2016;0.0;3109;782;0
08.08.2016;0.0;2578;796;0
09.08.2016;1.7;2314;828;0
10.08.2016;2.5;2144;651;0
11.08.2016;1.9;1572;521;0
12.08.2016;0.4;1771;497;0
13.08.2016;3.0;3001;606;307
14.08.2016;9.5;1344;455;0
15.08.2016;0.0;1300;525;0
16.08.2016;2.8;286;92;0
17.08.2016;3.7;510;171;0
18.08.2016;2.7;668;219;0
19.08.2016;1.4;1076;443;0
20.08.2016;0.0;3489;1068;0
21.08.2016;0.1;3332;614;0
22.08.2016;1.2;245;169;0
23.08.2016;0.0;695;216;0
24.08.2016;0.0;969;246;0
25.08.2016;0.0;608;254;0
26.08.2016;5.8;564;166;0
27.08.2016;0.0;3096;702;0
28.08.2016;0.0;2117;541;0
29.08.2016;11.6;122;35;0
30.08.2016;1.4;326;102;0
31.08.2016;0.0;757;193;0
01.09.2016;0.0;491;167;0
02.09.2016;0.0;7925;775;0
03.09.2016;29.0;2350;343;0
04.09.2016;9.6;1299;170;0
05.09.2016;0.0;316;73;0
06.09.2016;0.0;456;99;0
07.09.2016;0.0;334;136;0
08.09.2016;0.0;447;96;0
09.09.2016;0.0;9791;1007;0
10.09.2016;0.0;2266;578;0
11.09.2016;0.0;2151;257;0
12.09.2016;0.0;402;73;0
13.09.2016;0.0;375;92;0
14.09.2016;0.0;438;62;0
15.09.2016;0.0;446;57;0
16.09.2016;0.0;558;103;0
17.09.2016;0.0;1525;199;0
18.09.2016;0.0;1562;208;0
19.09.2016;0.0;215;44;0
20.09.2016;0.0;334;88;0
21.09.2016;0.0;1523;270;0
22.09.2016;0.0;621;48;0
23.09.2016;0.0;398;48;0
24.09.2016;0.0;1320;173;0
25.09.2016;0.0;1234;136;0
26.09.2016;0.0;263;46;0
27.09.2016;0.0;325;66;0
28.09.2016;5.3;176;35;0
29.09.2016;5.9;237;123;0
30.09.2016;0.5;276;53;0
01.10.2016;0.0;1180;0;0
02.10.2016;0.0;1106;0;0
03.10.2016;0.0;196;0;0
04.10.2016;0.0;6176;0;0
05.10.2016;0.0;246;0;0
06.10.2016;0.0;335;0;0
07.10.2016;0.0;292;0;0
08.10.2016;0.0;811;0;0
09.10.2016;0.5;741;0;0
10.10.2016;0.0;236;0;0
11.10.2016;0.0;215;0;0
12.10.2016;0.0;174;0;0
13.10.2016;0.0;222;0;0
14.10.2016;0.0;687;0;0
15.10.2016;0.7;688;0;0
16.10.2016;0.0;848;0;0
17.10.2016;0.0;658;0;0
18.10.2016;0.0;815;0;0
19.10.2016;0.0;894;0;0
20.10.2016;0.0;1299;0;0
21.10.2016;0.0;987;0;0
22.10.2016;0.0;841;0;0
23.10.2016;0.2;673;0;0
24.10.2016;0.5;171;0;0
25.10.2016;1.1;223;0;0
26.10.2016;0.0;204;0;0
27.10.2016;11.7;148;0;0
28.10.2016;10.3;89;0;0
29.10.2016;0.0;797;0;0
30.10.2016;0.2;675;0;0
31.10.2016;0.2;154;0;0
01.11.2016;0.5;124;0;0
02.11.2016;5.6;81;0;0
03.11.2016;0.0;211;0;0
04.11.2016;0.0;234;0;0
05.11.2016;0.0;526;0;0
06.11.2016;1.0;233;0;0
07.11.2016;4.0;96;0;0
08.11.2016;4.1;76;0;0
09.11.2016;9.9;42;0;0
10.11.2016;1.9;103;0;0
11.11.2016;0.0;152;0;0
12.11.2016;0.1;255;0;0
13.11.2016;0.2;232;0;0
14.11.2016;0.6;69;0;0
15.11.2016;1.9;91;0;0
16.11.2016;5.9;124;0;0
17.11.2016;5.6;36;0;0
18.11.2016;0.4;134;0;0
19.11.2016;1.7;383;0;0
20.11.2016;9.7;207;0;0
21.11.2016;6.1;37;0;0
22.11.2016;0.6;158;0;0
23.11.2016;2.0;61;0;0
24.11.2016;3.4;74;0;0
25.11.2016;0.0;127;0;0
26.11.2016;11.1;312;0;0
27.11.2016;0.5;307;0;0
28.11.2016;0.2;80;0;0
29.11.2016;0.9;40;0;0
30.11.2016;2.6;144;0;0
01.12.2016;0.0;118;0;0
02.12.2016;0.0;95;0;0
03.12.2016;0.0;189;0;0
04.12.2016;1.4;313;0;0
05.12.2016;0.0;170;0;0
06.12.2016;0.0;311;0;0
07.12.2016;0.6;64;0;0
08.12.2016;5.2;84;0;0
09.12.2016;0.0;83;0;0
10.12.2016;0.0;215;0;0
11.12.2016;0.0;175;0;0
12.12.2016;0.0;43;0;0
13.12.2016;0.0;53;0;0
14.12.2016;1.8;106;0;0
15.12.2016;0.0;70;0;0
16.12.2016;0.0;106;0;0
17.12.2016;1.3;195;0;0
18.12.2016;0.3;252;0;0
19.12.2016;0.6;89;0;0
20.12.2016;0.2;170;0;0
21.12.2016;0.2;70;0;0
22.12.2016;0.0;101;0;0
23.12.2016;0.1;124;0;0
24.12.2016;7.4;41;0;0
25.12.2016;1.3;536;0;0
26.12.2016;1.5;544;0;0
27.12.2016;2.1;509;0;0
28.12.2016;0.0;749;0;0
29.12.2016;0.0;541;0;0
30.12.2016;0.0;546;0;0
31.12.2016;0.0;483;0;0
